Filename,Basename,Category,Path,Format,Size (KB),Color Palette,Status
"about-me-page-break.png","about-me-page-break","breaks","breaks/about-me-page-break.png",.png,12580.4,"Mixed earth tones",Oversized
"about-me-page-break.webp","about-me-page-break","breaks","breaks/about-me-page-break.webp",.webp,283.6,"Mixed earth tones",Oversized
"learning-paths-break.png","learning-paths-break","breaks","breaks/learning-paths-break.png",.png,7406.9,"Mixed earth tones",Oversized
"learning-paths-break.webp","learning-paths-break","breaks","breaks/learning-paths-break.webp",.webp,188.7,"Mixed earth tones",OK
"ai-credit-scoring.png","ai-credit-scoring","examples","examples/ai-credit-scoring.png",.png,6144.0,"Company brand colors",Oversized
"ai-credit-scoring.webp","ai-credit-scoring","examples","examples/ai-credit-scoring.webp",.webp,433.7,"Company brand colors",Oversized
"ai-insurance-pricing.png","ai-insurance-pricing","examples","examples/ai-insurance-pricing.png",.png,5281.8,"Company brand colors",Oversized
"ai-insurance-pricing.webp","ai-insurance-pricing","examples","examples/ai-insurance-pricing.webp",.webp,191.4,"Company brand colors",OK
"ai-judicial-sentencing.png","ai-judicial-sentencing","examples","examples/ai-judicial-sentencing.png",.png,5146.5,"Company brand colors",Oversized
"ai-judicial-sentencing.webp","ai-judicial-sentencing","examples","examples/ai-judicial-sentencing.webp",.webp,181.5,"Company brand colors",OK
"ai-resume-screening.png","ai-resume-screening","examples","examples/ai-resume-screening.png",.png,7849.5,"Company brand colors",Oversized
"ai-resume-screening.webp","ai-resume-screening","examples","examples/ai-resume-screening.webp",.webp,168.8,"Company brand colors",OK
"amazon-case2.png","amazon-case2","examples","examples/amazon-case2.png",.png,6810.2,"Company brand colors",Oversized
"amazon-case2.webp","amazon-case2","examples","examples/amazon-case2.webp",.webp,225.4,"Company brand colors",Oversized
"amazon-hiring-bias.png","amazon-hiring-bias","examples","examples/amazon-hiring-bias.png",.png,5966.6,"Company brand colors",Oversized
"amazon-hiring-bias.webp","amazon-hiring-bias","examples","examples/amazon-hiring-bias.webp",.webp,338.3,"Company brand colors",Oversized
"apple-card-bias.png","apple-card-bias","examples","examples/apple-card-bias.png",.png,4609.9,"Company brand colors",Oversized
"apple-card-bias.webp","apple-card-bias","examples","examples/apple-card-bias.webp",.webp,66.3,"Company brand colors",OK
"chatgpt.png","chatgpt","examples","examples/chatgpt.png",.png,5481.6,"Company brand colors",Oversized
"chatgpt.webp","chatgpt","examples","examples/chatgpt.webp",.webp,192.6,"Company brand colors",OK
"compas-bias.png","compas-bias","examples","examples/compas-bias.png",.png,5488.1,"Company brand colors",Oversized
"compas-bias.webp","compas-bias","examples","examples/compas-bias.webp",.webp,261.5,"Company brand colors",Oversized
"deepfake-elections.png","deepfake-elections","examples","examples/deepfake-elections.png",.png,1065.9,"Company brand colors",Oversized
"deepfake-elections.webp","deepfake-elections","examples","examples/deepfake-elections.webp",.webp,23.7,"Company brand colors",OK
"eu-ai-act-cases.png","eu-ai-act-cases","examples","examples/eu-ai-act-cases.png",.png,7337.0,"Company brand colors",Oversized
"eu-ai-act-cases.webp","eu-ai-act-cases","examples","examples/eu-ai-act-cases.webp",.webp,179.2,"Company brand colors",OK
