number,title,filename,placeholder_var,prompt
001,AI Accountability – Who Is Responsible When AI Causes Harm,ai-accountability-who-is-responsible-when-ai-causes-harm.md,IMAGE_PLACEHOLDER_ai-accountability-who-is-responsible-when-ai-causes-harm,"balanced composition showing risk and safety elements, warning symbols with protective shields, professional illustration, modern flat design style, clean and authoritative, high quality, blue and gray color scheme with accent colors, suitable for professional article header"
002,AI and Privacy – The Data Collection Dilemma,ai-and-privacy-the-data-collection-dilemma.md,IMAGE_PLACEHOLDER_ai-and-privacy-the-data-collection-dilemma,"educational diagram showing AI concepts, neural network visualization, technology icons, data protection symbols, privacy locks, secure data flow, professional illustration, modern flat design style, clean and authoritative, high quality, blue and gray color scheme with accent colors, suitable for professional article header"
003,AI Governance Frameworks – Building Your Organization,ai-governance-frameworks-building-your-organizations-approac.md,IMAGE_PLACEHOLDER_ai-governance-frameworks-building-your-organizations-approac,"organizational structure, implementation roadmap, strategic planning elements, structured framework diagram, building blocks, architectural blueprint, professional illustration, modern flat design style, clean and authoritative, high quality, blue and gray color scheme with accent colors, suitable for professional article header label: Article Hero Image section: Header id: image"
004,AI Governance Mastery — Article Titles,ai-governance-mastery-article-titles.md,IMAGE_PLACEHOLDER_ai-governance-mastery-article-titles,"organizational structure, implementation roadmap, strategic planning elements, professional illustration, modern flat design style, clean and authoritative, high quality, blue and gray color scheme with accent colors, suitable for professional article header"
005,AI Hallucinations – When Machines Confidently Lie,ai-hallucinations-when-machines-confidently-lie.md,IMAGE_PLACEHOLDER_ai-hallucinations-when-machines-confidently-lie,"balanced composition showing risk and safety elements, warning symbols with protective shields, professional illustration, modern flat design style, clean and authoritative, high quality, blue and gray color scheme with accent colors, suitable for professional article header"
006,AI History — From Dartmouth to DeepMind,ai-history-from-dartmouth-to-deepmind.md,IMAGE_PLACEHOLDER_ai-history-from-dartmouth-to-deepmind,"educational diagram showing AI concepts, neural network visualization, technology icons, professional illustration, modern flat design style, clean and authoritative, high quality, blue and gray color scheme with accent colors, suitable for professional article header label: Article Hero Image section: Header id: image"
007,AI-Powered Misinformation – Democracy at Risk,ai-powered-misinformation-democracy-at-risk.md,IMAGE_PLACEHOLDER_ai-powered-misinformation-democracy-at-risk,"balanced composition showing risk and safety elements, warning symbols with protective shields, shield icons, warning triangles, protective barriers, safety nets, professional illustration, modern flat design style, clean and authoritative, high quality, blue and gray color scheme with accent colors, suitable for professional article header"
008,AI Safety – Preventing Catastrophic Failures,ai-safety-preventing-catastrophic-failures.md,IMAGE_PLACEHOLDER_ai-safety-preventing-catastrophic-failures,"balanced composition showing risk and safety elements, warning symbols with protective shields, shield icons, warning triangles, protective barriers, safety nets, professional illustration, modern flat design style, clean and authoritative, high quality, blue and gray color scheme with accent colors, suitable for professional article header"
009,AI Transparency – What Users Deserve to Know,ai-transparency-what-users-deserve-to-know.md,IMAGE_PLACEHOLDER_ai-transparency-what-users-deserve-to-know,"balanced composition showing risk and safety elements, warning symbols with protective shields, transparent glass box revealing inner workings, light rays, clarity symbols, professional illustration, modern flat design style, clean and authoritative, high quality, blue and gray color scheme with accent colors, suitable for professional article header"
010,Algorithmic Bias – How AI Discriminates and Why,algorithmic-bias-how-ai-discriminates-and-why.md,IMAGE_PLACEHOLDER_algorithmic-bias-how-ai-discriminates-and-why,"balanced composition showing risk and safety elements, warning symbols with protective shields, balanced scales, diverse people silhouettes, equality symbols, professional illustration, modern flat design style, clean and authoritative, high quality, blue and gray color scheme with accent colors, suitable for professional article header"
